Common Trait,Image Description,Light
,,
Cycling,scenic riverside cycling path view,daylight
Cycling,Coastal bike path by the beach,warmlight
Cycling,City park pathway with flowers,evening light
Fitness,sleek modern gym with equipment,warmlight
Fitness,Rooftop gym with city view,daylight
Fitness,Outdoor track at sunrise,daylight
Coffee,charming street café with flowers,warmlight
Coffee,Outdoor café with small tables,evening light
Coffee,Garden café with wooden chairs,daylight
Reading/Books,cozy corner in vintage bookstore,warmlight
Reading/Books,Quiet library with wooden shelves,warmlight
Movies,cinema entrance with glowing marquee,daylight
Movies,Outdoor movie screen in park,nightlight
Movies,Drive-in screen with parked cars,nightlight
Foodie,colorful food truck with string lights,nightlight
Foodie,Street food stall with crowd,evening light
Gaming,neon-lit retro game room,warmlight
Gaming,Living room with console games,warmlight
Gaming,Arcade with glowing machines,warmlight
Concerts,open-air music festival with blurred crowd,nightlight
Concerts,Street stage with live band,nightlight
Beach,golden sandy beach with calm waves,evening light
Beach,Rocky shore with gentle tide,morning light
Beach,Beach huts along the shore,morning light
Mountains,grassy hill with mountain view,morning light
Mountains,Rocky trail with mountain backdrop,morning light
Mountains,Pine forest in mountain valley,morning light
Soccer,green soccer field under bright lights,warmlight
Soccer,Stadium stands with cheering crowd,warmlight
Camping,forest campsite with tent,morning light
Camping,Lakeside campfire with chairs,nightlight
Camping,Desert campsite under starry sky,nightlight
Drinking/Cocktails,rooftop bar with city lights,nightlight
Drinking/Cocktails,dimly lit bar with bottles,nightlight
Drinking/Cocktails,outdoor bar with hanging lights,evening light
Art,elegant museum hall with artwork,warmlight
Art,Gallery wall with framed paintings,warmlight
Art,Modern art display room,warmlight
Comedy,intimate comedy club stage backdrop,nightlight
Comedy,Theater lobby with comedy posters,warmlight
